model,condition,candidate_top_n,weight_name,weight,beta,beta_over_weight,avg_recall,avg_violation,avg_recall_delta_vs_baseline,avg_violation_drop_vs_baseline,min_recall_delta_vs_baseline_all_k,min_violation_drop_vs_baseline_all_k,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,violation_lower_avg,method,source_csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,1,1,1,0.8115,0.03125,-0.13375,0.7205,-0.146,0.666,False,False,True,True,score_anti_rrf_no_target_call_a1_b1,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,1.5,0.1,0.0666667,0.9465,0.6895,0.00125,0.06225,-0.002,0.051,False,True,True,True,score_anti_rrf_no_target_call_a1.5_b0.1,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,1.5,0.2,0.133333,0.9445,0.61775,-0.00075,0.134,-0.005,0.126,False,False,True,True,score_anti_rrf_no_target_call_a1.5_b0.2,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,1.5,0.3,0.2,0.94225,0.55225,-0.003,0.1995,-0.005,0.194,False,False,True,True,score_anti_rrf_no_target_call_a1.5_b0.3,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,1.5,0.5,0.333333,0.94075,0.4125,-0.0045,0.33925,-0.007,0.337,False,False,True,True,score_anti_rrf_no_target_call_a1.5_b0.5,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,1.5,0.75,0.5,0.93325,0.23525,-0.012,0.5165,-0.015,0.505,False,False,True,True,score_anti_rrf_no_target_call_a1.5_b0.75,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,1.5,1,0.666667,0.9165,0.09425,-0.02875,0.6575,-0.03,0.624,False,False,True,True,score_anti_rrf_no_target_call_a1.5_b1,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,2,0.1,0.05,0.94575,0.7085,0.0005,0.04325,-0.002,0.034,False,True,True,True,score_anti_rrf_no_target_call_a2_b0.1,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,2,0.2,0.1,0.9455,0.65325,0.00025,0.0985,-0.003,0.091,False,True,True,True,score_anti_rrf_no_target_call_a2_b0.2,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,2,0.3,0.15,0.9445,0.60075,-0.00075,0.151,-0.005,0.146,False,False,True,True,score_anti_rrf_no_target_call_a2_b0.3,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,2,0.5,0.25,0.942,0.4965,-0.00325,0.25525,-0.005,0.249,False,False,True,True,score_anti_rrf_no_target_call_a2_b0.5,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,2,0.75,0.375,0.9385,0.3655,-0.00675,0.38625,-0.01,0.381,False,False,True,True,score_anti_rrf_no_target_call_a2_b0.75,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,2,1,0.5,0.93325,0.23525,-0.012,0.5165,-0.015,0.505,False,False,True,True,score_anti_rrf_no_target_call_a2_b1,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.25,0.1,0.4,0.936,0.24775,-0.01,0.6345,-0.013,0.489,False,False,True,True,score_target_minus_trap_c10_g0.25_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.25,0.2,0.8,0.924,0.15175,-0.022,0.7305,-0.037,0.629,False,False,True,True,score_target_minus_trap_c10_g0.25_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.25,0.3,1.2,0.8975,0.0975,-0.0485,0.78475,-0.085,0.713,False,False,True,True,score_target_minus_trap_c10_g0.25_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.25,0.5,2,0.8455,0.073,-0.1005,0.80925,-0.191,0.77,False,False,True,True,score_target_minus_trap_c10_g0.25_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.25,0.75,3,0.79575,0.0635,-0.15025,0.81875,-0.283,0.79,False,False,True,True,score_target_minus_trap_c10_g0.25_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.25,1,4,0.762,0.05975,-0.184,0.8225,-0.346,0.796,False,False,True,True,score_target_minus_trap_c10_g0.25_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.5,0.1,0.2,0.9385,0.32575,-0.0075,0.5565,-0.01,0.395,False,False,True,True,score_target_minus_trap_c10_g0.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.5,0.2,0.4,0.936,0.24775,-0.01,0.6345,-0.013,0.489,False,False,True,True,score_target_minus_trap_c10_g0.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.5,0.3,0.6,0.93,0.1895,-0.016,0.69275,-0.025,0.568,False,False,True,True,score_target_minus_trap_c10_g0.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.5,0.5,1,0.9105,0.12375,-0.0355,0.7585,-0.064,0.671,False,False,True,True,score_target_minus_trap_c10_g0.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.5,0.75,1.5,0.877,0.08225,-0.069,0.8,-0.124,0.751,False,False,True,True,score_target_minus_trap_c10_g0.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.5,1,2,0.8455,0.073,-0.1005,0.80925,-0.191,0.77,False,False,True,True,score_target_minus_trap_c10_g0.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.75,0.1,0.133333,0.9385,0.356,-0.0075,0.52625,-0.01,0.361,False,False,True,True,score_target_minus_trap_c10_g0.75_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.75,0.2,0.266667,0.9365,0.2975,-0.0095,0.58475,-0.012,0.432,False,False,True,True,score_target_minus_trap_c10_g0.75_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.75,0.3,0.4,0.936,0.24775,-0.01,0.6345,-0.013,0.489,False,False,True,True,score_target_minus_trap_c10_g0.75_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.75,0.5,0.666667,0.92825,0.17675,-0.01775,0.7055,-0.028,0.592,False,False,True,True,score_target_minus_trap_c10_g0.75_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.75,0.75,1,0.9105,0.12375,-0.0355,0.7585,-0.064,0.671,False,False,True,True,score_target_minus_trap_c10_g0.75_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,0.75,1,1.33333,0.88775,0.08825,-0.05825,0.794,-0.099,0.735,False,False,True,True,score_target_minus_trap_c10_g0.75_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1,0.1,0.1,0.93875,0.3725,-0.00725,0.50975,-0.009,0.35,False,False,True,True,score_target_minus_trap_c10_g1_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1,0.2,0.2,0.9385,0.32575,-0.0075,0.5565,-0.01,0.395,False,False,True,True,score_target_minus_trap_c10_g1_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1,0.3,0.3,0.937,0.285,-0.009,0.59725,-0.011,0.445,False,False,True,True,score_target_minus_trap_c10_g1_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1,0.5,0.5,0.9335,0.2155,-0.0125,0.66675,-0.018,0.534,False,False,True,True,score_target_minus_trap_c10_g1_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1,0.75,0.75,0.92575,0.162,-0.02025,0.72025,-0.033,0.615,False,False,True,True,score_target_minus_trap_c10_g1_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1,1,1,0.9105,0.12375,-0.0355,0.7585,-0.064,0.671,False,False,True,True,score_target_minus_trap_c10_g1_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1.5,0.1,0.0666667,0.93975,0.38725,-0.00625,0.495,-0.009,0.341,False,False,True,True,score_target_minus_trap_c10_g1.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1.5,0.2,0.133333,0.9385,0.356,-0.0075,0.52625,-0.01,0.361,False,False,True,True,score_target_minus_trap_c10_g1.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1.5,0.3,0.2,0.9385,0.32575,-0.0075,0.5565,-0.01,0.395,False,False,True,True,score_target_minus_trap_c10_g1.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1.5,0.5,0.333333,0.93675,0.26875,-0.00925,0.6135,-0.012,0.459,False,False,True,True,score_target_minus_trap_c10_g1.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1.5,0.75,0.5,0.9335,0.2155,-0.0125,0.66675,-0.018,0.534,False,False,True,True,score_target_minus_trap_c10_g1.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,1.5,1,0.666667,0.92825,0.17675,-0.01775,0.7055,-0.028,0.592,False,False,True,True,score_target_minus_trap_c10_g1.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,2,0.1,0.05,0.93975,0.39525,-0.00625,0.487,-0.009,0.339,False,False,True,True,score_target_minus_trap_c10_g2_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,2,0.2,0.1,0.93875,0.3725,-0.00725,0.50975,-0.009,0.35,False,False,True,True,score_target_minus_trap_c10_g2_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,2,0.3,0.15,0.9385,0.34825,-0.0075,0.534,-0.01,0.368,False,False,True,True,score_target_minus_trap_c10_g2_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,2,0.5,0.25,0.9365,0.305,-0.0095,0.57725,-0.012,0.42,False,False,True,True,score_target_minus_trap_c10_g2_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,2,0.75,0.375,0.93625,0.25625,-0.00975,0.626,-0.013,0.472,False,False,True,True,score_target_minus_trap_c10_g2_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,10,gamma,2,1,0.5,0.9335,0.2155,-0.0125,0.66675,-0.018,0.534,False,False,True,True,score_target_minus_trap_c10_g2_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.25,0.1,0.4,0.9265,0.161,-0.0195,0.72125,-0.023,0.71,False,False,True,True,score_target_minus_trap_c20_g0.25_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.25,0.2,0.8,0.90575,0.08375,-0.04025,0.7985,-0.049,0.773,False,False,True,True,score_target_minus_trap_c20_g0.25_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.25,0.3,1.2,0.85975,0.047,-0.08625,0.83525,-0.122,0.802,False,False,True,True,score_target_minus_trap_c20_g0.25_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.25,0.5,2,0.7575,0.034,-0.1885,0.84825,-0.268,0.813,False,False,True,True,score_target_minus_trap_c20_g0.25_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.25,0.75,3,0.65475,0.02725,-0.29125,0.855,-0.388,0.816,False,False,True,True,score_target_minus_trap_c20_g0.25_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.25,1,4,0.58075,0.025,-0.36525,0.85725,-0.467,0.817,False,False,True,True,score_target_minus_trap_c20_g0.25_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.5,0.1,0.2,0.932,0.2375,-0.014,0.64475,-0.017,0.618,False,False,True,True,score_target_minus_trap_c20_g0.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.5,0.2,0.4,0.9265,0.161,-0.0195,0.72125,-0.023,0.71,False,False,True,True,score_target_minus_trap_c20_g0.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.5,0.3,0.6,0.91825,0.11625,-0.02775,0.766,-0.03,0.751,False,False,True,True,score_target_minus_trap_c20_g0.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.5,0.5,1,0.8865,0.0615,-0.0595,0.82075,-0.081,0.796,False,False,True,True,score_target_minus_trap_c20_g0.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.5,0.75,1.5,0.82,0.04075,-0.126,0.8415,-0.178,0.807,False,False,True,True,score_target_minus_trap_c20_g0.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.5,1,2,0.7575,0.034,-0.1885,0.84825,-0.268,0.813,False,False,True,True,score_target_minus_trap_c20_g0.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.75,0.1,0.133333,0.93375,0.266,-0.01225,0.61625,-0.014,0.581,False,False,True,True,score_target_minus_trap_c20_g0.75_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.75,0.2,0.266667,0.93075,0.20575,-0.01525,0.6765,-0.019,0.658,False,False,True,True,score_target_minus_trap_c20_g0.75_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.75,0.3,0.4,0.9265,0.161,-0.0195,0.72125,-0.023,0.71,False,False,True,True,score_target_minus_trap_c20_g0.75_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.75,0.5,0.666667,0.91375,0.10225,-0.03225,0.78,-0.035,0.762,False,False,True,True,score_target_minus_trap_c20_g0.75_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.75,0.75,1,0.8865,0.0615,-0.0595,0.82075,-0.081,0.796,False,False,True,True,score_target_minus_trap_c20_g0.75_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,0.75,1,1.33333,0.841,0.0445,-0.105,0.83775,-0.149,0.804,False,False,True,True,score_target_minus_trap_c20_g0.75_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1,0.1,0.1,0.934,0.2845,-0.012,0.59775,-0.014,0.561,False,False,True,True,score_target_minus_trap_c20_g1_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1,0.2,0.2,0.932,0.2375,-0.014,0.64475,-0.017,0.618,False,False,True,True,score_target_minus_trap_c20_g1_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1,0.3,0.3,0.93,0.19275,-0.016,0.6895,-0.019,0.674,False,False,True,True,score_target_minus_trap_c20_g1_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1,0.5,0.5,0.92275,0.138,-0.02325,0.74425,-0.025,0.732,False,False,True,True,score_target_minus_trap_c20_g1_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1,0.75,0.75,0.909,0.09125,-0.037,0.791,-0.041,0.768,False,False,True,True,score_target_minus_trap_c20_g1_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1,1,1,0.8865,0.0615,-0.0595,0.82075,-0.081,0.796,False,False,True,True,score_target_minus_trap_c20_g1_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1.5,0.1,0.0666667,0.93525,0.3055,-0.01075,0.57675,-0.013,0.536,False,False,True,True,score_target_minus_trap_c20_g1.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1.5,0.2,0.133333,0.93375,0.266,-0.01225,0.61625,-0.014,0.581,False,False,True,True,score_target_minus_trap_c20_g1.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1.5,0.3,0.2,0.932,0.2375,-0.014,0.64475,-0.017,0.618,False,False,True,True,score_target_minus_trap_c20_g1.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1.5,0.5,0.333333,0.929,0.18025,-0.017,0.702,-0.02,0.693,False,False,True,True,score_target_minus_trap_c20_g1.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1.5,0.75,0.5,0.92275,0.138,-0.02325,0.74425,-0.025,0.732,False,False,True,True,score_target_minus_trap_c20_g1.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,1.5,1,0.666667,0.91375,0.10225,-0.03225,0.78,-0.035,0.762,False,False,True,True,score_target_minus_trap_c20_g1.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,2,0.1,0.05,0.9355,0.315,-0.0105,0.56725,-0.012,0.524,False,False,True,True,score_target_minus_trap_c20_g2_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,2,0.2,0.1,0.934,0.2845,-0.012,0.59775,-0.014,0.561,False,False,True,True,score_target_minus_trap_c20_g2_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
text-embedding-3-small,q_target - q_trap,20,gamma,2,0.3,0.15,0.9335,0.259,-0.0125,0.62325,-0.014,0.592,False,False,True,True,score_target_minus_trap_c20_g2_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv
